file,...1,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret,susp,num
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,46,585.281,134.641,88,158,148.307,42.293,1251,1031,28.951,24.979,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,47,806.002,140.888,94,158,273.915,52.544,1317,1051,29.638,40.06,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,48,1827.144,139.527,77,158,606.322,101.34,1526,1051,122.949,58.715,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,49,418.501,144.761,113,158,220.959,41.858,1605,1181,73.61,28.513,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,50,498.481,140.376,103,158,183.829,40.884,1683,1186,15.642,28.182,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,51,1247.442,125.325,72,158,302.947,70.083,591,1171,117.429,35.273,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,52,1793.044,132.35,65,158,500.376,105.503,1579,1180,99.884,51.153,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,53,459.421,145.935,117,158,163.515,49.312,1520,1230,38.517,23.85,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,54,420.361,133.158,93,158,116.778,32.052,212,1191,117.824,23.188,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,55,370.141,143.536,115,158,127.262,30.138,1293,1195,109.855,21.26,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,56,539.401,135.674,100,158,147.655,41.792,1952,1218,132.709,21.754,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,57,531.961,131.707,79,158,107.027,32.465,389,1215,104.036,27.071,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,58,1647.343,133.711,93,158,302.644,83.212,1464,1327,60.524,41.013,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,59,738.421,134.988,86,158,188.554,42.614,556,1304,163.909,32.293,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,60,397.421,145.507,122,158,165.011,36.066,1711,1287,126.119,25.502,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,61,964.102,106.773,41,158,163.133,47.408,1902,1307,101.497,31.848,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,62,589.001,140.742,97,158,153.605,41.858,1626,1319,106.39,25.311,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,63,2330.585,112.371,30,158,416.892,78.496,932,1324,103.339,67.994,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,64,689.441,131.926,87,158,205.448,49.11,1069,1425,41.1,34.493,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,65,622.481,130.192,85,158,161.176,45.839,326,1402,175.073,27.15,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,66,652.241,130.265,66,158,181.299,40.587,1310,1447,71.917,35.368,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,67,460.041,139.191,97,158,140.242,36.255,1661,1440,34.38,24.336,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,68,2038.564,115.084,50,158,395.003,78.523,1609,1463,158.839,57.195,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,69,359.601,139.455,98,158,123.269,38.518,964,1505,49.145,17.908,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,70,546.841,118.625,64,158,122.807,32.883,433,1515,73.301,28.015,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,71,2934.466,88.363,20,158,276.268,77.538,1913,1478,124.658,61.628,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,72,372.621,139.394,104,158,125.226,38.974,1228,1489,98.13,19.631,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,73,2134.044,132.612,76,158,507.327,95.367,1503,1498,108.285,64.203,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,74,602.641,132.872,87,158,169.623,45.866,1358,1517,101.889,23.717,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,75,445.161,120.489,67,158,120.851,37.108,237,1574,162.719,22.719,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,76,1399.963,134.813,70,158,445.495,89.258,330,1574,94.554,52.314,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,77,6351.293,122.991,42,158,1027.411,176.422,1764,1578,116.794,96.212,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,78,942.402,115.94,51,158,229.103,50.719,250,1592,117.759,40.851,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,79,378.201,129.13,80,158,119.737,34.394,33,1607,164.055,17.431,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,80,642.941,144.016,108,158,344.083,59.848,1532,1677,57.355,33.723,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,81,666.501,136.743,89,158,174.459,41.606,1287,1665,60.524,32.537,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,82,443.921,141.799,104,158,159.522,39.094,1439,1646,152.403,25.852,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,83,1994.544,129.484,69,158,549.913,96.568,1388,1645,122.005,66.837,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,84,1102.362,136.252,67,158,339.47,68.576,100,1682,164.687,35.205,100Si,09
